X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,weather,sci,comm,nav,misc
1964-063C,00900,*+,CALSPHERE 1,US,1964-10-06,AFWTR,NA,104.9,90.2,1009,967,0.0510,,0,0,0,0,1
1964-063E,00902,*+,CALSPHERE 2,US,1964-10-06,AFWTR,NA,106.5,90.2,1078,1047,0.0457,,0,0,0,0,1
1965-034C,01361,*+,LCS 1,US,1965-05-06,AFETR,NA,145.6,32.1,2795,2781,0.8083,,0,0,0,0,1
1965-065E,01512,*+,TEMPSAT 1,US,1965-08-13,AFWTR,NA,108,89.9,1185,1083,0.0680,,0,0,0,0,1
1965-065H,01520,*+,CALSPHERE 4A,US,1965-08-13,AFWTR,NA,107.8,90,1179,1071,0.0520,,0,0,0,0,1
1967-053A,02826,M*+,OPS 5712 (P/L 160),US,1967-05-31,AFWTR,NA,99.4,69.9,736,723,0.4030,,0,0,0,0,1
1967-053F,02872,*+,SURCAL 159,US,1967-05-31,AFWTR,NA,103,70,902,894,0.3210,,0,0,0,0,0
1967-053H,02874,M*+,OPS 5712 (P/L 153),US,1967-05-31,AFWTR,NA,103.1,70,910,903,0.6606,,0,0,0,0,1
1967-053J,02909,*+,SURCAL 150B,US,1967-05-31,AFWTR,NA,98.5,70,693,684,0.0631,,0,0,0,0,1
1971-067E,05398,*+,RIGIDSPHERE 2 (LCS 4),US,1971-08-07,AFWTR,NA,100.4,87.6,824,734,0.9548,,0,0,0,0,1
1974-089B,07530,M*P,OSCAR 7 (AO-7),US,1974-11-15,AFWTR,NA,114.9,101.8,1459,1440,0.7542,,0,0,1,0,0
1975-010A,07646,*+,STARLETTE,FR,1975-02-06,FRGUI,NA,104.2,49.8,1107,805,0.1687,,0,1,0,0,0
1976-039A,08820,*+,LAGEOS 1,US,1976-05-04,AFWTR,NA,225.5,109.9,5947,5839,0.3981,,0,1,0,0,0
1978-096A,11060,*P,TIROS N,US,1978-10-13,AFWTR,NA,101.5,98.8,840,823,4.0800,,1,0,0,0,0
1979-057A,11416,*P,NOAA 6,US,1979-06-27,AFWTR,NA,100.5,98.7,787,773,2.8854,,1,0,0,0,0
1984-021B,14781,*P,UOSAT 2 (UO-11),UK,1984-03-01,AFWTR,NA,97.1,97.6,624,615,0.4029,,0,0,1,0,0
1984-123A,15427,*P,NOAA 9,US,1984-12-12,AFWTR,NA,101.7,98.9,850,827,4.2970,,1,0,1,0,0
1986-061A,16908,M*+,AJISAI (EGS),JPN,1986-08-12,TANSC,NA,115.7,50,1497,1479,4.2280,,0,1,0,0,0
1988-091B,19548,*+,TDRS 3,US,1988-09-29,AFETR,NA,1436,14.3,35937,35630,38.9782,,1,0,1,0,0
1989-016A,19822,*+,AKEBONO (EXOS-D),JPN,1989-02-21,KSCUT,NA,120,75,3108,254,2.9878,,0,1,0,0,0
1989-077A,20253,*+,FLTSATCOM 8 (USA 46),US,1989-09-25,AFETR,NA,1436.1,13.1,35796,35775,32.5418,,0,0,1,0,0
1990-005G,20442,*P,LUSAT (LO-19),ARG,1990-01-22,FRGUI,NA,100.5,98.7,791,773,0.1459,,0,0,1,0,0
1990-037B,20580,M*+,HST,US,1990-04-24,AFETR,NA,95.4,28.5,540,537,28.0799,,1,1,0,0,0
1990-079A,20776,*+,SKYNET 4C,UK,1990-08-30,FRGUI,NA,1436.1,14,35801,35771,11.1055,,0,0,1,0,0
1991-054B,21639,*+,TDRS 5,US,1991-08-02,AFETR,NA,1436,14.4,35871,35699,20.8608,,1,0,1,0,0
1992-070B,22195,*+,LAGEOS 2,IT,1992-10-22,AFETR,NA,222.5,52.7,5952,5615,0.3981,,0,1,0,0,0
1993-003B,22314,*+,TDRS 6,US,1993-01-13,AFETR,NA,1436,14.1,35788,35780,28.6701,,1,0,1,0,0
1993-009B,22490,*P,SCD 1,BRA,1993-02-09,AFETR,NA,99.7,25,774,713,0.8234,,1,0,0,0,0
1993-056A,22787,*+,UFO 2 (USA 95),US,1993-09-03,AFETR,NA,1436,11.2,35808,35763,0.0030,,0,0,1,0,0
1993-061B,22824,*+,STELLA,FR,1993-09-26,FRGUI,NA,100.9,98.9,806,795,0.1700,,0,1,0,0,0
1993-061D,22826,*P,ITAMSAT (IO-26),IT,1993-09-26,FRGUI,NA,100.7,98.9,797,784,0.1624,,0,0,1,0,0
1994-009A,22988,*+,USA 99 (MILSTAR-1 1),US,1994-02-07,AFETR,NA,1436.1,13.7,35800,35773,N/A,,0,0,1,0,0
1994-016A,23027,M*B,NAVSTAR 36 (USA 100),US,1994-03-10,AFETR,NA,718,54.9,20570,19794,1.9565,,0,0,0,0,0
1994-070A,23331,*+,ASTRA 1D,SES,1994-11-01,FRGUI,NA,1436.1,8.8,35802,35772,61.3997,,0,0,1,0,0
1994-085A,23439,*P,RADIO ROSTO (RS-15),CIS,1994-12-26,TYMSC,NA,127.7,64.8,2144,1900,0.6192,,0,0,1,0,0
1995-003A,23467,*+,UFO 4 (USA 108),US,1995-01-29,AFETR,NA,1436.1,9.9,35797,35776,30.3520,,0,0,1,0,0
1995-019A,23553,M*+,AMSC 1,US,1995-04-07,AFETR,NA,1436.1,11,35790,35782,16.9728,,0,0,1,0,0
1995-035B,23613,*+,TDRS 7,US,1995-07-13,AFETR,NA,1436,14.2,35897,35673,22.3872,,1,0,1,0,0
1995-038A,23628,M*+,USA 113,US,1995-07-31,AFETR,NA,1436,11.2,35794,35777,N/A,,0,0,1,0,0
1995-060A,23712,*+,USA 115 (MILSTAR-1 2),US,1995-11-06,AFETR,NA,1436.1,13.1,35793,35778,N/A,,0,0,1,0,0
1996-009B,23788,*+,GONETS-D1 2,CIS,1996-02-19,PLMSC,NA,114,82.6,1415,1405,0.9238,,0,0,0,0,0
1996-013A,23802,*P,POLAR,US,1996-02-24,AFWTR,NA,1109,78.7,52448,5777,6.0269,,0,1,0,0,0
1996-020A,23839,*+,INMARSAT 3-F1,IM,1996-04-03,AFETR,NA,1436.1,5.6,35810,35763,1.1784,,0,0,1,0,0
1996-021A,23842,*+,ASTRA 1F,SES,1996-04-08,TYMSC,NA,1436.1,0.1,35807,35767,3.3814,,0,0,1,0,0
1996-022A,23846,M*+,MSAT M1,CA,1996-04-20,FRGUI,NA,1436.1,9,35802,35771,11.9952,,0,0,1,0,0
1996-046B,24278,*P,JAS-2 (FO-29),JPN,1996-08-17,TANSC,NA,106.4,98.6,1321,801,0.2437,,0,0,1,0,0
1996-053A,24307,*+,INMARSAT 3-F2,IM,1996-09-06,TYMSC,NA,1440.3,4.4,35886,35852,830.0351,,0,0,1,0,0
1996-054A,24315,*+,AMC-1 (GE-1),SES,1996-09-08,AFETR,NA,1436.1,3.4,35798,35774,35.9897,,0,0,1,0,0
1996-070A,24674,*+,INMARSAT 3-F3,IM,1996-12-18,AFETR,NA,1436.1,5.1,35809,35764,28.1837,,0,0,1,0,0
1997-002A,24713,*+,AMC-2 (GE-2),SES,1997-01-30,FRGUI,NA,1436.1,5.9,35809,35765,15.2492,,0,0,1,0,0
1997-007A,24732,M*+,INTELSAT 26 (IS-26),ITS,1997-02-17,AFETR,NA,1436.1,8.7,35800,35772,25.1486,,0,0,1,0,0
1997-008A,24737,*+,USA 130 (DSP 18),US,1997-02-23,AFETR,NA,1436,13.4,35790,35779,N/A,,0,0,1,0,0
1997-012A,24753,*P,DMSP 5D-2 F14 (USA 131),US,1997-04-04,AFWTR,NA,101.7,99,846,833,3.0492,,1,0,0,0,0
1997-026A,24812,M*+,GALAXY 25 (G-25),US,1997-05-24,TYMSC,NA,1436.1,1.4,35800,35773,40.2985,,0,0,1,0,0
1997-035A,24876,M*+,NAVSTAR 43 (USA 132),US,1997-07-23,AFETR,NA,718,55.5,20281,20084,3.1622,,0,0,0,1,0
1997-046A,24916,M*+,INTELSAT 5 (IS-5),US,1997-08-28,TYMSC,NA,1436.1,5.2,35800,35773,25.1189,,0,0,1,0,0
1997-047A,24920,*+,FORTE,US,1997-08-29,WRAS,NA,101,70,821,787,1.3502,,0,0,0,0,0
1997-050A,24936,*+,AMC-3 (GE-3),SES,1997-09-04,AFETR,NA,1436.1,2.2,35800,35774,8.3589,,0,0,1,0,0
1997-053A,24957,M*+,NSS-5,NET,1997-09-23,FRGUI,NA,1436.1,5.5,35804,35769,25.1187,,0,0,1,0,0
1997-065A,25019,M*+,USA 134,US,1997-10-25,AFETR,NA,1436.1,9.9,35810,35763,N/A,,0,0,1,0,0
1997-067A,25030,M*B,NAVSTAR 44 (USA 135),US,1997-11-06,AFETR,NA,764.2,56,21366,21254,2.4717,,0,0,0,0,0
1997-076A,25071,*+,ASTRA 1G,SES,1997-12-02,TYMSC,NA,1436.1,4.1,35802,35770,1.1380,,0,0,1,0,0
1997-084A,25112,M*+,ORBCOMM FM08,ORB,1997-12-23,ERAS,NA,100.1,45,767,757,0.5145,,0,0,1,0,0
1997-084B,25113,M*+,ORBCOMM FM10,ORB,1997-12-23,ERAS,NA,100.1,45,765,759,0.4180,,0,0,1,0,0
1997-084C,25114,M*+,ORBCOMM FM11,ORB,1997-12-23,ERAS,NA,100.1,45,766,758,0.7617,,0,0,1,0,0
1997-084D,25115,M*+,ORBCOMM FM12,ORB,1997-12-23,ERAS,NA,100.1,45,765,759,0.8926,,0,0,1,0,0
1997-084E,25116,M*+,ORBCOMM FM09,ORB,1997-12-23,ERAS,NA,100.1,45,766,758,0.8538,,0,0,1,0,0
1997-084F,25117,M*+,ORBCOMM FM05,ORB,1997-12-23,ERAS,NA,100.1,45,764,761,0.7460,,0,0,1,0,0
1997-084G,25118,M*+,ORBCOMM FM06,ORB,1997-12-23,ERAS,NA,100.1,45,763,761,0.5105,,0,0,1,0,0
1997-084H,25119,M*+,ORBCOMM FM07,ORB,1997-12-23,ERAS,NA,100.1,45,764,760,0.4720,,0,0,1,0,0
1998-006B,25153,*+,INMARSAT 3-F5,IM,1998-02-04,FRGUI,NA,1436,4.3,35807,35764,14.5000,,0,0,1,0,0
1998-007C,25159,M*+,ORBCOMM FM04,ORB,1998-02-10,AFWTR,NA,100.7,108,826,760,0.8830,,0,0,1,0,0
1998-007D,25160,*+,CELESTIS-02 & TAURUS R/,US,1998-02-10,AFWTR,NA,101.3,108,866,774,3.4524,,0,0,0,0,1
1998-016A,25258,*+,UFO 8 (USA 138),US,1998-03-16,AFETR,NA,1436.1,8.4,35798,35774,14.1421,,0,0,1,0,0
1998-030A,25338,*B,NOAA 15,US,1998-05-13,AFWTR,NA,101,98.7,812,799,5.2920,,1,0,1,0,0
1998-037A,25371,*+,INTELSAT 805 (IS-805),ITS,1998-06-18,AFETR,NA,1436.1,1.9,35801,35772,13.7602,,0,0,1,0,0
1998-043D,25397,*P,TECHSAT 1B (GO-32),ISR,1998-07-10,TYMSC,NA,101.2,98.7,815,811,0.1988,,1,0,1,0,0
1998-046B,25414,M*+,ORBCOMM FM18,ORB,1998-08-02,ERAS,NA,100.5,45,786,778,0.6162,,0,0,1,0,0
1998-046C,25415,M*+,ORBCOMM FM19,ORB,1998-08-02,ERAS,NA,100.5,45,785,779,0.5242,,0,0,1,0,0
1998-046D,25416,M*+,ORBCOMM FM20,ORB,1998-08-02,ERAS,NA,100.5,45,784,781,0.6790,,0,0,1,0,0
1998-046F,25418,M*+,ORBCOMM FM15,ORB,1998-08-02,ERAS,NA,100.5,45,785,779,0.6166,,0,0,1,0,0
1998-046G,25419,M*+,ORBCOMM FM14,ORB,1998-08-02,ERAS,NA,100.5,45,784,780,0.4833,,0,0,1,0,0
1998-046H,25420,M*+,ORBCOMM FM13,ORB,1998-08-02,ERAS,NA,100.5,45,786,779,0.7712,,0,0,1,0,0
1998-050A,25462,*+,ASTRA 2A,SES,1998-08-30,TYMSC,NA,1436.1,1.1,35798,35776,18.8958,,0,0,1,0,0
1998-053A,25475,M*+,ORBCOMM FM21,ORB,1998-09-23,ERAS,NA,100.5,45,784,780,0.6898,,0,0,1,0,0
1998-053C,25477,M*+,ORBCOMM FM23,ORB,1998-09-23,ERAS,NA,100.5,45,785,780,0.6326,,0,0,1,0,0
1998-053G,25481,M*+,ORBCOMM FM27,ORB,1998-09-23,ERAS,NA,100.5,45,784,781,0.6590,,0,0,1,0,0
1998-060A,25504,*+,SCD 2,BRA,1998-10-23,ERAS,NA,99.7,25,757,733,0.4591,,1,0,0,0,0
1998-067A,25544,*+,ISS (ZARYA),ISS,1998-11-20,TYMSC,NA,92.9,51.6,421,411,399.0524,,1,0,1,0,0
